Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
4645,sponsored,sponsored,5.54,19.082
1246,spontaneous,spontaneous,6.54,13.584
2751,spoon,spoon,5.98,15.477
1060,sport,sport,6.64,16.874
2463,sports,sports,6.06,22.352
6013,spot,spot,5.26,14.682
1635,spotlight,spotlight,6.35,13.401
8362,spots,spots,4.68,14.061
5807,spray,spray,5.3,14.463
4950,spread,spread,5.48,11.292
2820,spreading,spreading,5.96,13.064
446,spring,spring,7.16,14.337
2336,springfield,springfield,6.1,12.495
1165,springs,springs,6.58,12.469
8948,spy,spy,4.24,17.677
6297,squad,squad,5.18,13.795
4951,square,square,5.48,9.947
6836,squeeze,squeeze,5.08,17.004
7804,sr,sr,4.86,11.954
7735,st,st,4.88,5.584
7880,sta,sta,4.84,10.759
7414,staan,staan,4.96,12.241
9553,stab,stab,3.45,21.317
690,stability,stability,6.9,1.488
2049,stable,stable,6.2,13.702
6736,stack,stack,5.1,11.294
5048,stacks,stacks,5.46,1.328
2812,stadium,stadium,5.96,15.774
5511,staff,staff,5.36,8.751
3758,stage,stage,5.72,14.434
3266,stages,stages,5.84,15.434
9593,stain,stain,3.39,13.357
9226,stained,stained,3.92,18.277
9479,stains,stains,3.55,14.728
6632,stairs,stairs,5.12,12.229
7135,stake,stake,5.02,11.865
8089,stakes,stakes,4.78,9.538
7136,stamford,stamford,5.02,12.036
4321,stand,stand,5.6,11.066
7219,standard,standard,5,14.708
5419,standards,standards,5.38,10.859
7021,standin,standin,5.04,9.249
5512,standing,standing,5.36,8.514
5905,stands,stands,5.28,8.816
3035,stanford,stanford,5.9,17.642
6089,stanley,stanley,5.24,10.214
396,star,star,7.22,15.817
1360,starbucks,starbucks,6.48,16.932
7022,stare,stare,5.04,17.257
7313,stared,stared,4.98,14.356
8448,stares,stares,4.63,14.957
7805,staring,staring,4.86,12.779
219,starlight,starlight,7.44,14.165
2464,starring,starring,6.06,13.001
1128,starry,starry,6.6,1.666
501,stars,stars,7.1,15.419
2337,start,start,6.1,15.419
2657,started,started,6,1.069
1318,starting,starting,6.5,10.546
2813,starts,starts,5.96,11.945
10020,starving,starving,2.58,14.721
